GSM_ID,100152367_TGI_at,100148025_TGI_at,100122391_TGI_at,100146289_TGI_at,100160445_TGI_at,100121818_TGI_at,100139653_TGI_at,100137227_TGI_at,100147092_TGI_at,100155952_TGI_at,100134865_TGI_at,100134610_TGI_at,100146924_TGI_at,100152843_TGI_at,100148916_TGI_at,Type
GSM616704,16.33401,8.87146,20.49353,0.3570663,29.52816,16.8399,9.819823,12.03252,3.3769190000000004,15.60883,2.988455,2.071964,5.07412,13.283,24.24323,1
GSM616705,28.734720000000003,11.34976,15.635129999999998,5.311647,30.76221,22.53252,13.74358,33.63026,5.0086879999999985,0.800795,12.16153,8.910336000000003,6.3314010000000005,10.4167,22.4959,1
GSM616706,29.92636,17.73273,18.01905,0.6696835999999999,31.35338,22.15621,1.052139,42.66868,4.033777,2.090994,4.274292,3.294251,2.30532,5.7427980000000005,23.61973,1
GSM616707,3.6565190000000003,9.588376,18.16581,3.391886,27.29182,17.79277,22.99195,27.96749,11.0264,24.2511,0.7450211999999999,6.210614,9.062814,2.433293,25.51554,1
GSM616708,28.3664,15.91376,16.77525,10.75167,27.023000000000003,22.9448,11.48673,29.5007,3.2864760000000004,14.882270000000002,9.112702,9.35105,6.2716949999999985,17.3837,21.43606,1
GSM616709,26.042920000000002,13.02217,18.85034,11.21359,32.95498,22.77397,22.36738,36.25949,7.7111839999999985,12.2644,4.106783999999998,4.709455,7.475498,9.567424,26.04029,1
GSM616710,20.60114,29.9905,9.627224,7.024885,18.91862,22.02201,27.39997,29.40626,13.30812,16.68146,29.67442,6.8490199999999986,17.05399,15.01579,19.96467,2
GSM616711,30.18924,24.47548,19.66263,8.739284,32.152120000000004,21.76017,11.15023,31.870240000000006,1.964029,13.63315,9.497021,11.73229,7.976914,16.16149,19.06315,2
GSM616712,25.37781,22.90527,9.042912,13.33289,24.42844,16.771720000000002,22.59653,22.04076,17.1723,16.49398,23.0398,10.98771,17.59688,22.06831,19.46788,2
GSM616713,31.04484,27.62606,16.556179999999998,4.451037,25.40012,27.3221,24.04169,29.61197,3.246849,19.15388,6.824762,16.40244,3.734436,18.02686,17.27443,2
GSM616714,27.684520000000003,34.65026,12.66114,8.993431,25.33066,19.46684,34.14921,22.00181,4.900268,23.68825,24.27999,14.00696,9.806901,6.797687,25.92964,2
GSM616715,9.051174000000001,25.80384,16.27918,9.304124,28.99479,16.67137,26.96873,5.7989510000000015,16.52679,8.414621,2.617772,7.269471,16.650479999999998,16.95151,26.80236,2
GSM616716,21.62138,30.08128,16.165860000000002,10.43332,29.70836,15.40366,30.89896,5.245237,10.79424,23.44917,17.51922,5.9119410000000014,20.12776,6.247346,17.63239,2
GSM616717,0.38021740000000004,24.65466,8.456886,18.50457,20.05244,6.21362,22.8105,0.7880891999999999,26.97021,5.291307,0.6301277,12.62488,23.15571,0.1984325,8.482248,2
GSM616718,6.3386510000000005,35.41964,9.272487,19.16783,27.72328,10.40959,16.85949,1.396962,23.00919,15.20211,16.26156,9.960803,21.62133,6.335568,13.11872,2
GSM616719,7.066998,28.05861,5.658373,15.944870000000002,17.17531,7.395347,10.74518,3.015043,27.86567,7.581025,10.69568,18.59128,22.24786,2.571554,10.99964,2
GSM616720,28.614309999999996,23.57775,13.23955,5.199033999999998,24.76563,17.80483,12.09767,9.87434,17.683139999999995,16.05886,16.86644,5.539773,19.16713,12.07164,15.78896,2
GSM616721,29.74878,22.97866,18.08665,6.027539,28.25058,21.28755,19.82352,33.2947,4.482605,23.46547,22.38381,13.219120000000002,7.436265,5.17752,18.56794,2
GSM616722,19.661620000000003,27.71182,18.26911,17.17291,35.36232000000001,14.31659,28.529020000000006,14.08372,17.65747,16.547629999999998,4.232462,4.575869,20.11329,6.162766,18.26579,2
GSM616723,7.684355,27.8112,8.217455000000001,20.36678,17.8875,2.524585,16.651220000000002,1.427766,25.21461,4.323446,6.150277,9.798408,26.79142,6.302645,15.65537,2
GSM616724,2.0985139999999998,23.19344,8.389789,15.068320000000002,25.07775,4.4421230000000005,5.451333,1.00075,27.18478,6.954016,0.379718,14.56839,26.39461,1.140262,8.468073,2
GSM616725,25.00844,24.67943,11.85045,10.56206,23.3988,17.6878,32.82133,19.17519,9.959342,13.99988,28.49353,9.890409,14.71127,10.05361,18.08814,2
GSM616726,17.59789,30.38757,16.33759,10.81119,21.03193,18.89428,35.77103,15.03062,5.49338,21.85298,29.01788,6.204484,11.74301,6.291945,19.95834,2
GSM616727,8.848192999999998,31.72416,12.81575,11.63883,23.75215,14.51786,27.39214,7.1033979999999985,22.05138,18.6517,11.72733,7.955802,21.8245,9.144519,19.03701,2
GSM616728,25.67536,30.03761,6.554083,6.6811630000000015,18.41726,11.38155,12.88213,17.03654,20.47555,17.5996,12.95572,10.89137,19.4809,2.880884,15.5616,2
GSM616729,18.221770000000003,24.8435,11.30434,8.933396,27.69896,15.16579,17.81935,7.683488,13.979779999999998,12.15002,11.77694,7.733414,21.66747,16.60514,15.11234,2
GSM616730,0.05019763,22.94116,3.308276,17.42159,11.26497,0.338604,1.186586,0.3069217,47.6893,0.5977621,0.08281533,10.70007,30.29454,0.2367391,5.010162,2
GSM616731,16.6632,20.88024,10.04096,19.32196,20.01774,17.53181,8.416107,7.342060000000001,10.77973,23.839270000000006,30.5672,1.208614,18.03612,22.93491,16.943920000000002,2
GSM616732,16.64807,23.70006,10.91387,15.3749,26.39691,13.26239,29.18337,5.435907,22.3302,18.43856,6.998129,8.969237,19.80998,9.483529,12.31473,2
GSM616733,28.39033,30.93361,13.84152,5.959879,23.41592,14.16886,29.261090000000006,15.190929999999998,12.42042,20.97315,21.54046,7.293139,13.39882,3.944492,21.31,2
GSM616734,0.9293454,39.42637,12.55538,13.59449,27.50185,4.850034,24.61337,0.7243512,44.35027,5.809837,7.247994,4.867384,28.376240000000006,10.20095,14.945620000000002,2
GSM616735,1.693008,26.4801,11.1381,22.47577,24.92455,2.494578,13.89707,0.4371423,25.08103,11.22242,5.4296440000000015,0.8357503000000001,23.15746,3.659524,15.38217,2
GSM616736,9.603539999999999,16.73165,11.88212,13.71904,29.31213,6.702147999999998,35.73559,1.545839,22.92251,17.76473,0.7857187,5.354585,23.43391,6.458903,16.56017,2
GSM616737,5.423082,19.59653,14.89209,7.43343,29.31748,11.50208,26.58488,2.611322,29.11916,14.52949,10.78596,7.427378999999998,25.18821,5.304842,16.23281,2
GSM616738,0.3231007,19.84634,4.743047,19.27734,12.91179,3.985104,11.88819,1.370466,34.42748,3.595739,0.5772695999999999,10.46018,24.71809,1.028803,11.34767,2
GSM616739,1.004326,25.29691,7.242845,22.83774,11.62636,1.500717,0.7072828,0.1762598,27.30245,3.129381,0.323421,16.19193,24.56116,0.1244354,4.972032,2
GSM616740,20.6711,30.4781,3.473434,8.456512,9.974972,18.15343,26.90356,19.12945,12.38614,19.27969,24.47347,8.797407000000002,14.765720000000002,8.414508,19.80539,2
GSM616741,13.10215,29.87055,16.25992,9.586123,27.410940000000004,18.16128,27.98664,12.25194,13.75278,22.647070000000006,12.88331,5.454961,15.01191,11.57885,17.84317,2
GSM616742,7.791794,34.2999,11.53092,13.35687,26.34902,12.15075,24.82705,5.165344,19.47738,23.97743,6.6251690000000005,10.86526,19.97643,8.812572,13.36387,2
GSM616743,20.41735,24.32771,10.0471,8.907548,26.23276,17.41617,35.10463,19.65089,5.744553,20.73751,18.21647,3.699695,12.81345,20.22111,18.89399,2
GSM616744,25.09229,21.89836,14.7035,5.50935,23.39589,19.237920000000006,30.72256,22.41004,8.621029,24.20948,25.87799,9.719747,12.7767,8.131341,13.719129999999998,2
GSM616745,13.05821,25.11633,8.49387,27.91516,20.90141,9.203568,7.879633,9.487601,25.2304,13.825729999999998,4.664004,11.25561,22.13815,1.320813,10.02298,2
GSM616746,23.79502,32.85468,8.243580999999999,22.72405,20.56853,14.859470000000002,24.00488,13.80117,11.09297,20.12994,22.05149,5.461936,14.99004,11.40608,24.09379,2
GSM616747,24.79851,26.16523,7.928985000000001,11.14744,18.99473,20.69986,32.60837,26.2193,6.163737,25.05149,21.68988,8.222363,9.46823,11.14496,20.19699,2
GSM616748,3.312494,26.3416,15.97566,21.94461,28.966390000000004,6.386684,38.10279,13.48996,12.94117,25.31537,21.74198,10.08887,17.92788,2.860764,19.40303,2
GSM616749,25.33895,26.76102,4.269121,12.11954,20.14199,20.05122,6.062136,25.73328,6.113586,8.015385,21.78199,7.327257,7.082446000000001,14.07275,26.53658,2
GSM616750,29.095470000000002,15.617920000000002,21.19881,5.248745,37.58242,24.121920000000006,11.64454,33.77192,3.687521,3.69189,5.720749,12.81007,5.686804,5.270441,24.64295,3
GSM616751,31.34899,13.41936,22.58505,2.130991,33.37519,23.72514,0.523596,35.46291,7.8253309999999985,8.043453,4.478605,12.3246,6.680202,11.97031,21.47339,3
GSM616752,29.1342,12.89926,16.69825,1.214895,30.95097,26.14703,0.9773442,32.03693,1.850231,1.872113,6.618263000000002,10.16779,2.465569,13.66831,22.68038,3
GSM616753,29.826790000000003,23.51561,19.57466,4.007127,25.85933,21.36724,24.31147,31.48869,7.561716,9.264547,5.066683,15.06371,7.918994,0.8337993,23.38172,3
GSM616754,23.60926,21.12073,21.61554,5.607757,33.04155,15.66603,10.55651,15.703120000000002,16.99341,4.07983,7.417103,8.711897,17.12286,7.959589,16.95192,3
GSM616755,27.11562,20.07254,22.84039,4.810961,35.48496,15.79354,24.9576,28.30387,9.092905,4.705222,6.860355,18.18253,12.36631,2.600562,23.0768,3
GSM616756,28.51445,11.21147,18.04428,4.0513949999999985,28.94423,21.41994,13.88933,32.24426,3.424258,16.47622,8.505278,13.53805,5.649412,10.00613,19.29626,3
GSM616757,23.30463,18.12788,19.82343,4.120171,28.56887,23.77425,18.17638,28.24335,9.218172,14.11117,6.649467,15.39703,12.08166,9.788888,20.47897,3
GSM616758,31.19285,12.01714,21.64463,13.10423,29.51022,16.64987,9.117576,33.37301,2.490445,19.37077,2.493626,11.38723,8.227684,7.9485160000000015,13.99918,3
GSM616759,27.506079999999997,15.155679999999998,19.29355,3.717413,28.38822,21.71848,1.173066,35.69345,1.893895,1.019944,5.0015220000000005,14.60752,3.852903,5.933064,21.97791,3
GSM616760,26.10608,20.933670000000006,11.11226,12.12629,21.66737,18.06959,15.17295,30.95353,14.45398,10.61832,17.032610000000002,10.65049,9.850723,3.87189,16.48464,3
GSM616761,24.235570000000003,15.257079999999998,15.30412,12.96575,26.52136,20.46087,20.67138,26.60722,9.149538,18.27113,21.89722,13.35377,8.914786999999997,10.51262,18.09949,3
GSM616762,26.13124,20.54309,18.46078,2.92595,27.66348,19.3599,24.89751,28.43493,7.885822,12.62237,11.06079,13.681070000000002,8.127386999999999,7.3924509999999986,20.6894,3
