GSM_ID,100152367_TGI_at,100148025_TGI_at,100147415_TGI_at,100142646_TGI_at,100131664_TGI_at,100159841_TGI_at,100122391_TGI_at,100146289_TGI_at,100160445_TGI_at,100121818_TGI_at,100149328_TGI_at,100139653_TGI_at,100122717_TGI_at,100137227_TGI_at,100141545_TGI_at,100147092_TGI_at,100142419_TGI_at,100152115_TGI_at,100155952_TGI_at,100156268_TGI_at,100158086_TGI_at,100130781_TGI_at,100149348_TGI_at,100152725_TGI_at,100134865_TGI_at,100134610_TGI_at,100146924_TGI_at,100125753_TGI_at,100152843_TGI_at,100148916_TGI_at,Type
GSM616714,27.684520000000003,34.65026,23.71994,13.00359,13.84571,24.35011,12.66114,8.993431,25.33066,19.46684,7.559835,34.14921,6.893689,22.00181,10.56296,4.900268,36.05512,16.498820000000002,23.68825,10.95641,19.56682,18.12,12.49528,9.915382,24.27999,14.00696,9.806901,7.676961,6.797687,25.92964,2
GSM616715,9.051174000000001,25.80384,7.242577000000002,14.96161,22.58875,20.15665,16.27918,9.304124,28.99479,16.67137,17.408379999999998,26.96873,7.59318,5.7989510000000015,9.087109,16.52679,37.28081,21.5671,8.414621,16.73913,9.425038,20.08144,6.60151,10.67076,2.617772,7.269471,16.650479999999998,2.145258,16.95151,26.80236,2
GSM616716,21.62138,30.08128,8.525391,6.9203899999999985,17.341070000000002,27.97614,16.165860000000002,10.43332,29.70836,15.40366,14.1338,30.89896,3.334227,5.245237,13.268670000000002,10.79424,30.79071,13.21051,23.44917,9.788992,10.60976,21.13034,9.869118,13.312000000000001,17.51922,5.9119410000000014,20.12776,13.83232,6.247346,17.63239,2
GSM616717,0.38021740000000004,24.65466,3.525412,4.515956,7.558066,27.5244,8.456886,18.50457,20.05244,6.21362,22.64239,22.8105,0.8484311999999999,0.7880891999999999,9.072201,26.97021,32.17749,13.6051,5.291307,4.0068769999999985,4.166568,10.76766,4.901454,20.71158,0.6301277,12.62488,23.15571,5.780202,0.1984325,8.482248,2
GSM616718,6.3386510000000005,35.41964,5.28408,2.283701,9.354528,30.04473,9.272487,19.16783,27.72328,10.40959,21.246170000000006,16.85949,2.523921,1.396962,8.589342,23.00919,33.75323,18.27351,15.20211,11.70576,11.53082,13.89101,10.68654,14.75985,16.26156,9.960803,21.62133,10.86134,6.335568,13.11872,2
GSM616719,7.066998,28.05861,1.70263,6.035709,6.718986,31.83257,5.658373,15.944870000000002,17.17531,7.395347,25.79474,10.74518,2.87275,3.015043,14.115520000000002,27.86567,22.48927,27.36073,7.581025,4.331834,4.843932,8.857516,4.351426999999998,21.23501,10.69568,18.59128,22.24786,8.619586,2.571554,10.99964,2
GSM616720,28.614309999999996,23.57775,5.83937,3.5924970000000003,14.15248,30.14453,13.23955,5.199033999999998,24.76563,17.80483,18.02401,12.09767,9.331739,9.87434,10.54708,17.683139999999995,35.016040000000004,17.52412,16.05886,10.74695,1.461912,22.70565,5.828926,13.90439,16.86644,5.539773,19.16713,17.22944,12.07164,15.78896,2
GSM616721,29.74878,22.97866,15.819120000000002,5.092206,14.484370000000002,18.65199,18.08665,6.027539,28.25058,21.28755,7.50978,19.82352,6.313967,33.2947,11.07766,4.482605,35.38667,5.876506,23.46547,15.73169,18.3166,22.1759,5.7139120000000005,7.074242999999999,22.38381,13.219120000000002,7.436265,5.794099,5.17752,18.56794,2
GSM616722,19.661620000000003,27.71182,7.617614,11.68265,16.09645,23.89772,18.26911,17.17291,35.36232000000001,14.31659,18.76065,28.529020000000006,4.5528629999999986,14.08372,10.16549,17.65747,30.3867,18.7779,16.547629999999998,4.040327,6.998324,17.8914,9.284496,19.81186,4.232462,4.575869,20.11329,12.96273,6.162766,18.26579,2
GSM616723,7.684355,27.8112,3.738818,5.134331,7.070881,32.32437,8.217455000000001,20.36678,17.8875,2.524585,22.15928,16.651220000000002,1.204231,1.427766,9.811364,25.21461,10.91912,21.82262,4.323446,7.363405,4.428913,5.494071,6.6211699999999984,23.06196,6.150277,9.798408,26.79142,10.62062,6.302645,15.65537,2
